pid,gid,team,minutes,points,assists,turnovers,steals,blocks,fouls,fga,fgm,threepa,threepm,fta,ftm,rebounds
78,43025CLE,Boston Celtics,40,25,0,3,3,0,5,23,11,9,2,2,1,6
257,43025CLE,Boston Celtics,39,22,10,2,3,0,4,17,8,9,4,2,2,4
506,43025CLE,Boston Celtics,37,14,3,1,0,0,4,12,5,2,1,3,3,10
244,43025CLE,Boston Celtics,32,9,5,0,0,1,2,7,2,2,0,7,5,7
225,43025CLE,Boston Celtics,5,2,0,0,0,0,1,2,1,1,0,0,0,1
489,43025CLE,Boston Celtics,35,12,3,2,2,2,2,16,5,4,0,3,2,9
466,43025CLE,Boston Celtics,20,9,2,0,3,0,0,6,2,3,1,4,4,3
43,43025CLE,Boston Celtics,19,6,1,2,0,1,5,2,2,0,0,4,2,5
409,43025CLE,Boston Celtics,9,0,0,0,0,0,1,2,0,1,0,0,0,0
307,43025CLE,Boston Celtics,5,0,0,0,0,0,0,1,0,1,0,0,0,1
266,43025CLE,Cleveland Cavaliers,41,29,9,4,0,2,3,19,12,5,1,4,4,16
127,43025CLE,Cleveland Cavaliers,35,11,2,1,2,0,2,10,3,5,1,4,4,5
464,43025CLE,Cleveland Cavaliers,31,14,2,2,0,0,2,14,5,3,1,4,3,4
542,43025CLE,Cleveland Cavaliers,29,8,3,4,0,2,1,10,3,1,0,2,2,2
328,43025CLE,Cleveland Cavaliers,28,15,0,2,0,0,2,9,4,4,1,7,6,11
492,43025CLE,Cleveland Cavaliers,22,10,1,0,0,0,4,7,4,3,1,1,1,4
519,43025CLE,Cleveland Cavaliers,20,5,2,2,0,0,3,3,2,0,0,3,1,6
205,43025CLE,Cleveland Cavaliers,14,6,0,1,0,0,3,8,3,1,0,0,0,0
483,43025CLE,Cleveland Cavaliers,13,4,0,1,1,0,3,3,2,0,0,0,0,2
300,43025CLE,Cleveland Cavaliers,7,0,0,0,0,0,2,0,0,0,0,0,0,0
25,43025GS,Houston Rockets,38,8,5,1,2,0,2,9,3,5,2,0,0,6
211,43025GS,Houston Rockets,36,27,10,3,1,0,2,23,10,9,4,4,3,6
18,43025GS,Houston Rockets,33,13,1,0,1,1,3,12,5,8,3,0,0,8
426,43025GS,Houston Rockets,33,4,11,1,2,1,4,9,2,4,0,0,0,8
91,43025GS,Houston Rockets,18,12,0,2,1,1,0,10,6,0,0,1,0,4
196,43025GS,Houston Rockets,29,24,1,2,1,2,1,16,9,6,0,8,6,1
526,43025GS,Houston Rockets,29,20,0,1,1,0,3,9,6,6,4,6,4,6
518,43025GS,Golden State Warriors,38,16,3,1,2,2,0,14,6,7,4,0,0,6
153,43025GS,Golden State Warriors,38,20,7,8,0,4,4,15,7,5,2,5,4,5
130,43025GS,Golden State Warriors,30,22,4,2,1,0,4,18,8,9,3,3,3,5
202,43025GS,Golden State Warriors,28,9,13,2,0,0,3,6,2,2,1,4,4,11
417,43025GS,Golden State Warriors,10,6,0,0,0,1,1,2,2,0,0,2,2,3
583,43025GS,Golden State Warriors,26,23,0,1,0,0,4,9,8,7,6,1,1,2
347,43025GS,Golden State Warriors,19,4,1,0,1,1,1,3,2,0,0,0,0,3
323,43025GS,Golden State Warriors,19,6,5,1,0,0,2,5,2,0,0,2,2,1
49,43025GS,Golden State Warriors,12,8,1,1,0,0,4,5,4,0,0,0,0,1
551,43025GS,Golden State Warriors,9,4,0,1,0,1,0,3,2,0,0,0,0,1
325,43025GS,Golden State Warriors,8,1,0,0,1,0,2,0,0,0,0,2,1,2
96,43025GS,Golden State Warriors,4,2,0,0,0,0,0,0,0,0,0,2,2,1
485,43026WAS,Philadelphia 76ers,35,18,5,1,2,1,3,15,7,0,0,6,4,10
453,43026WAS,Philadelphia 76ers,32,12,4,2,1,0,4,10,4,8,4,0,0,2
122,43026WAS,Philadelphia 76ers,29,29,1,5,1,2,4,15,9,11,7,4,4,7
42,43026WAS,Philadelphia 76ers,28,13,3,2,1,0,4,10,5,7,3,0,0,3
158,43026WAS,Philadelphia 76ers,27,18,3,4,0,1,2,15,7,4,0,4,4,13
474,43026WAS,Philadelphia 76ers,23,3,2,0,0,1,3,5,1,2,0,1,1,3
179,43026WAS,Philadelphia 76ers,18,10,1,0,0,1,0,9,5,0,0,2,0,3
349,43026WAS,Philadelphia 76ers,15,2,3,2,0,0,0,2,1,0,0,0,0,0
273,43026WAS,Philadelphia 76ers,15,5,1,1,0,0,6,7,2,0,0,2,1,5
257,43026BOS,Boston Celtics,39,17,3,3,3,0,1,25,7,7,2,2,1,4
506,43026BOS,Boston Celtics,37,8,2,2,1,0,3,7,3,1,0,5,2,9
244,43026BOS,Boston Celtics,33,13,4,2,3,2,3,11,6,2,0,1,1,6
489,43026BOS,Boston Celtics,32,12,4,3,3,0,4,13,4,7,3,6,1,7
78,43026BOS,Boston Celtics,28,18,3,0,0,0,6,11,6,3,2,5,4,5
466,43026BOS,Boston Celtics,27,15,6,0,2,0,4,12,6,5,3,0,0,7
43,43026BOS,Boston Celtics,16,4,0,0,0,0,4,3,2,0,0,0,0,2
409,43026BOS,Boston Celtics,12,3,0,1,0,0,0,2,1,2,1,0,0,1
388,43026BOS,Boston Celtics,11,4,1,0,0,0,1,4,2,1,0,0,0,0
514,43026BOS,Boston Celtics,5,6,0,1,0,0,1,3,2,0,0,2,2,2
321,43026PHO,Portland Trail Blazers,30,27,5,0,1,3,1,20,10,6,4,3,3,5
13,43026PHO,Portland Trail Blazers,28,5,2,1,0,1,1,4,2,2,1,0,0,12
527,43026PHO,Portland Trail Blazers,25,12,3,2,1,1,2,8,4,1,1,4,3,4
403,43026PHO,Portland Trail Blazers,23,11,1,5,1,0,3,7,2,1,0,10,7,11
116,43026PHO,Portland Trail Blazers,32,24,2,1,0,0,2,14,9,7,4,2,2,2
390,43026PHO,Portland Trail Blazers,23,10,3,1,2,0,2,6,4,2,2,0,0,3
505,43026PHO,Portland Trail Blazers,18,8,3,2,1,0,2,7,3,1,1,1,1,4
134,43026PHO,Portland Trail Blazers,14,10,0,1,0,1,1,7,4,0,0,2,2,7
311,43026PHO,Portland Trail Blazers,12,3,1,0,2,0,2,4,1,2,1,0,0,0
317,43026PHO,Portland Trail Blazers,11,6,0,1,0,0,1,4,2,1,0,4,2,4
211,43026SAC,Houston Rockets,38,27,9,2,2,0,1,21,8,14,4,8,7,3
196,43026SAC,Houston Rockets,35,25,3,3,0,0,2,23,7,13,4,8,7,4
25,43026SAC,Houston Rockets,32,2,2,0,0,0,1,6,0,5,0,2,2,2
91,43026SAC,Houston Rockets,28,22,1,2,3,1,2,12,10,0,0,2,2,17
18,43026SAC,Houston Rockets,26,10,0,0,0,0,1,7,2,7,2,4,4,5
526,43026SAC,Houston Rockets,29,6,1,3,0,1,4,3,2,3,2,0,0,2
261,43026SAC,Houston Rockets,10,0,2,2,1,1,1,2,0,1,0,0,0,3
140,43027TOR,Toronto Raptors,32,11,5,5,2,1,1,9,2,0,0,8,7,6
329,43027TOR,Toronto Raptors,31,12,9,4,1,0,1,7,4,3,1,3,3,4
443,43027TOR,Toronto Raptors,25,15,1,2,1,0,2,11,5,6,3,2,2,4
252,43027TOR,Toronto Raptors,24,8,0,0,0,2,2,8,3,4,2,0,0,4
579,43027TOR,Toronto Raptors,23,13,5,0,1,0,0,6,4,1,0,5,5,2
363,43027TOR,Toronto Raptors,20,22,0,0,0,0,4,12,7,9,6,2,2,5
23,43027TOR,Toronto Raptors,17,9,2,0,0,0,1,6,3,3,1,2,2,3
535,43027TOR,Toronto Raptors,13,2,2,2,1,1,1,5,1,2,0,0,0,1
484,43027TOR,Toronto Raptors,5,0,0,0,1,0,0,0,0,0,0,0,0,0
355,43027TOR,Toronto Raptors,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188,43027OKC,Oklahoma City Thunder,39,28,1,1,1,1,1,23,9,13,6,4,4,6
21,43027OKC,Oklahoma City Thunder,34,22,1,2,2,2,4,20,8,10,3,5,3,1
552,43027OKC,Oklahoma City Thunder,33,21,16,7,0,1,4,12,7,1,0,10,7,10
3,43027OKC,Oklahoma City Thunder,30,12,1,1,5,3,3,5,5,0,0,3,2,5
199,43027OKC,Oklahoma City Thunder,21,5,2,2,0,0,4,6,2,3,1,0,0,3
169,43027OKC,Oklahoma City Thunder,16,2,3,0,3,0,2,2,1,0,0,0,0,0
170,43027OKC,Oklahoma City Thunder,11,2,0,1,0,0,1,5,1,2,0,0,0,0
424,43027OKC,Oklahoma City Thunder,7,0,0,1,0,0,0,2,0,2,0,0,0,2
248,43027OKC,Oklahoma City Thunder,3,0,0,1,0,0,0,0,0,0,0,0,0,1
275,43027OKC,Oklahoma City Thunder,3,4,0,0,1,0,0,3,2,0,0,0,0,4
13,43028IND,Portland Trail Blazers,35,16,2,0,1,1,2,13,7,4,2,0,0,16
321,43028IND,Portland Trail Blazers,33,18,7,0,1,1,2,17,7,3,0,4,4,7
348,43028IND,Portland Trail Blazers,32,28,1,0,1,1,2,18,12,4,3,2,1,7
403,43028IND,Portland Trail Blazers,26,11,3,6,1,1,5,13,4,0,0,4,3,2
527,43028IND,Portland Trail Blazers,32,17,3,0,0,1,2,12,7,2,1,2,2,2
116,43028IND,Portland Trail Blazers,22,8,1,0,0,0,2,4,3,3,2,0,0,3
134,43028IND,Portland Trail Blazers,20,7,1,0,0,0,3,4,3,0,0,3,1,9
505,43028IND,Portland Trail Blazers,9,2,0,1,0,0,2,4,0,0,0,2,2,0
111,43028IND,Portland Trail Blazers,7,0,0,1,0,0,2,4,0,1,0,0,0,2
311,43028IND,Portland Trail Blazers,2,0,1,0,0,0,1,0,0,0,0,0,0,0
390,43028IND,Portland Trail Blazers,2,2,0,0,0,0,1,1,1,0,0,0,0,0
266,43028MIL,Cleveland Cavaliers,37,24,8,5,1,1,1,16,10,4,2,2,2,5
328,43028MIL,Cleveland Cavaliers,27,17,6,4,0,2,2,12,5,3,0,7,7,12
542,43028MIL,Cleveland Cavaliers,26,4,3,3,1,0,3,7,2,1,0,0,0,2
127,43028MIL,Cleveland Cavaliers,25,14,1,0,1,0,1,8,6,2,2,0,0,4
464,43028MIL,Cleveland Cavaliers,23,12,1,1,2,0,0,4,3,0,0,6,6,2
519,43028MIL,Cleveland Cavaliers,24,8,0,0,0,0,0,6,4,0,0,0,0,8
492,43028MIL,Cleveland Cavaliers,23,7,2,1,0,0,1,11,3,6,1,0,0,4
300,43028MIL,Cleveland Cavaliers,19,17,1,0,1,0,0,8,6,6,5,0,0,3
205,43028MIL,Cleveland Cavaliers,18,10,1,1,1,0,1,7,4,2,0,2,2,1
483,43028MIL,Cleveland Cavaliers,14,0,1,1,1,0,1,1,0,1,0,0,0,2
178,43028MIL,Cleveland Cavaliers,1,3,1,0,0,0,0,1,1,1,1,0,0,1
415,43028MIL,Cleveland Cavaliers,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,43028MIL,Cleveland Cavaliers,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,43028PHI,Boston Celtics,37,9,0,0,2,0,2,13,4,4,1,3,0,8
244,43028PHI,Boston Celtics,36,17,3,4,0,1,2,16,5,7,3,4,4,9
257,43028PHI,Boston Celtics,36,21,4,5,2,0,4,17,7,4,1,7,6,6
506,43028PHI,Boston Celtics,33,15,0,3,0,3,3,8,3,2,0,9,9,8
43,43028PHI,Boston Celtics,14,10,2,1,0,0,5,8,5,0,0,1,0,8
466,43028PHI,Boston Celtics,30,14,2,2,0,0,2,11,6,6,2,3,0,7
307,43028PHI,Boston Celtics,19,10,4,1,0,0,0,5,4,2,2,0,0,2
57,43028PHI,Boston Celtics,14,3,0,0,0,0,1,1,0,1,0,5,3,1
514,43028PHI,Boston Celtics,11,0,1,1,0,1,2,1,0,1,0,0,0,3
388,43028PHI,Boston Celtics,7,0,0,0,0,0,1,2,0,1,0,0,0,2
580,43028PHI,Boston Celtics,3,3,0,2,0,0,2,2,1,1,1,0,0,1
485,43028PHI,Philadelphia 76ers,37,11,5,4,1,0,2,11,4,0,0,6,3,11
453,43028PHI,Philadelphia 76ers,36,19,4,0,0,0,1,16,7,7,4,1,1,0
42,43028PHI,Philadelphia 76ers,30,18,1,0,1,0,4,12,7,6,4,0,0,1
158,43028PHI,Philadelphia 76ers,28,11,3,3,1,2,1,16,4,6,0,3,3,14
122,43028PHI,Philadelphia 76ers,27,12,2,2,0,1,5,10,5,6,2,0,0,2
474,43028PHI,Philadelphia 76ers,24,9,2,6,0,1,5,10,4,4,0,2,1,10
179,43028PHI,Philadelphia 76ers,17,6,1,0,1,0,4,9,2,0,0,2,2,3
349,43028PHI,Philadelphia 76ers,12,4,0,1,2,0,5,2,1,1,0,2,2,4
273,43028PHI,Philadelphia 76ers,11,0,1,0,0,0,1,2,0,0,0,0,0,2
16,43028PHI,Philadelphia 76ers,3,0,0,0,0,0,0,0,0,0,0,0,0,0
153,43028NO,Golden State Warriors,38,22,2,5,1,7,3,18,9,6,3,1,1,8
518,43028NO,Golden State Warriors,37,31,3,1,0,1,2,19,12,12,7,0,0,4
202,43028NO,Golden State Warriors,35,10,9,4,1,0,4,11,4,7,2,0,0,5
130,43028NO,Golden State Warriors,35,28,8,1,0,0,1,16,7,11,4,10,10,3
417,43028NO,Golden State Warriors,21,8,0,3,1,0,5,6,3,0,0,2,2,9
253,43028NO,Golden State Warriors,23,7,4,1,0,0,0,5,3,1,0,1,1,7
323,43028NO,Golden State Warriors,14,2,1,2,0,0,1,4,1,0,0,2,0,5
551,43028NO,Golden State Warriors,13,11,2,0,0,0,4,5,4,1,1,4,2,1
583,43028NO,Golden State Warriors,11,3,1,0,0,0,1,3,1,2,1,0,0,1
353,43028NO,Golden State Warriors,9,2,1,1,0,0,2,2,1,0,0,0,0,4
49,43028NO,Golden State Warriors,5,4,0,0,2,0,0,2,2,0,0,0,0,2
485,43029TOR,Philadelphia 76ers,33,18,8,3,0,0,0,16,7,2,0,8,4,10
42,43029TOR,Philadelphia 76ers,27,16,0,3,1,0,1,7,5,3,2,4,4,3
453,43029TOR,Philadelphia 76ers,26,6,3,2,2,0,1,8,2,2,0,2,2,2
122,43029TOR,Philadelphia 76ers,15,5,0,0,0,1,4,7,2,1,1,0,0,3
273,43029TOR,Philadelphia 76ers,14,6,1,0,1,0,2,3,2,1,0,2,2,2
474,43029TOR,Philadelphia 76ers,24,9,1,2,0,0,4,7,3,3,2,2,1,7
179,43029TOR,Philadelphia 76ers,24,6,2,1,0,0,2,5,1,0,0,8,4,1
410,43029TOR,Philadelphia 76ers,22,10,0,2,0,2,4,7,4,0,0,4,2,9
349,43029TOR,Philadelphia 76ers,18,2,3,2,0,0,4,4,1,1,0,0,0,1
16,43029TOR,Philadelphia 76ers,17,12,0,1,0,1,3,12,4,7,2,4,2,1
498,43029TOR,Philadelphia 76ers,8,0,0,1,1,0,0,1,0,0,0,0,0,0
329,43029TOR,Toronto Raptors,28,17,5,1,0,0,3,12,6,10,4,2,1,5
140,43029TOR,Toronto Raptors,27,30,3,1,0,0,3,12,8,1,0,16,14,3
252,43029TOR,Toronto Raptors,25,21,2,1,0,2,2,12,7,9,5,2,2,5
443,43029TOR,Toronto Raptors,17,2,2,2,0,1,4,3,0,1,0,2,2,2
579,43029TOR,Toronto Raptors,31,14,1,2,0,2,3,9,3,6,1,7,7,5
363,43029TOR,Toronto Raptors,17,5,1,1,0,0,3,7,2,6,1,0,0,3
535,43029TOR,Toronto Raptors,17,3,4,2,0,0,3,6,1,4,1,0,0,0
399,43029TOR,Toronto Raptors,16,10,0,1,2,2,1,7,5,1,0,0,0,9
23,43029TOR,Toronto Raptors,15,3,2,0,1,0,3,3,1,2,1,0,0,3
484,43029TOR,Toronto Raptors,8,4,2,0,0,0,1,5,1,2,0,2,2,6
87,43029TOR,Toronto Raptors,6,0,1,0,1,0,1,2,0,2,0,0,0,1
266,43029CLE,Cleveland Cavaliers,31,22,2,1,1,1,0,15,8,3,1,6,5,4
328,43029CLE,Cleveland Cavaliers,27,19,1,2,1,1,2,17,8,5,0,4,3,9
127,43029CLE,Cleveland Cavaliers,19,0,0,3,1,1,4,3,0,2,0,0,0,2
542,43029CLE,Cleveland Cavaliers,16,5,4,1,0,0,1,8,2,1,1,0,0,2
88,43029CLE,Cleveland Cavaliers,14,2,2,2,0,0,0,3,1,1,0,0,0,2
483,43029CLE,Cleveland Cavaliers,30,21,2,1,0,1,1,14,5,5,4,10,7,7
519,43029CLE,Cleveland Cavaliers,26,4,1,1,0,1,1,4,2,0,0,0,0,9
492,43029CLE,Cleveland Cavaliers,21,2,1,2,0,0,2,6,1,4,0,0,0,0
205,43029CLE,Cleveland Cavaliers,21,7,1,2,1,0,0,6,2,1,0,4,3,1
300,43029CLE,Cleveland Cavaliers,13,2,0,1,0,0,0,5,1,2,0,0,0,3
178,43029CLE,Cleveland Cavaliers,8,5,0,0,0,0,1,3,2,1,1,0,0,1
415,43029CLE,Cleveland Cavaliers,8,0,1,0,0,0,2,1,0,0,0,0,0,0
25,43029HOU,Houston Rockets,31,8,1,1,4,1,0,7,3,5,1,1,1,4
211,43029HOU,Houston Rockets,31,29,7,5,2,0,5,19,10,13,6,4,3,3
196,43029HOU,Houston Rockets,24,18,2,1,0,0,2,11,5,6,1,8,7,1
18,43029HOU,Houston Rockets,23,3,1,0,0,0,0,4,1,4,1,0,0,10
91,43029HOU,Houston Rockets,21,13,2,0,0,0,4,8,5,0,0,3,3,10
526,43029HOU,Houston Rockets,26,3,1,0,2,0,1,6,1,5,1,0,0,4
261,43029HOU,Houston Rockets,17,4,2,2,1,0,1,5,2,3,0,0,0,5
60,43029HOU,Houston Rockets,13,4,0,0,1,2,3,2,2,0,0,0,0,6
447,43029HOU,Houston Rockets,7,0,0,1,0,1,1,1,0,1,0,0,0,3
77,43029HOU,Houston Rockets,5,3,0,1,0,0,0,3,1,3,1,0,0,0
569,43029HOU,Houston Rockets,4,2,0,0,0,0,1,4,1,3,0,0,0,1
153,43029MEM,Golden State Warriors,40,29,3,6,1,3,2,24,11,9,4,6,3,13
518,43029MEM,Golden State Warriors,38,14,1,0,0,1,4,16,5,8,2,2,2,2
202,43029MEM,Golden State Warriors,36,3,6,3,2,1,5,6,1,5,0,2,1,7
130,43029MEM,Golden State Warriors,30,37,3,2,0,0,5,17,9,11,6,13,13,6
417,43029MEM,Golden State Warriors,12,0,0,2,2,0,4,2,0,0,0,0,0,6
253,43029MEM,Golden State Warriors,29,0,2,0,2,1,3,5,0,2,0,0,0,2
323,43029MEM,Golden State Warriors,18,8,0,1,0,0,2,7,4,0,0,0,0,2
347,43029MEM,Golden State Warriors,12,0,2,0,1,0,0,1,0,1,0,0,0,0
551,43029MEM,Golden State Warriors,9,4,3,2,2,0,2,2,1,0,0,2,2,6
583,43029MEM,Golden State Warriors,5,0,0,1,0,0,0,2,0,2,0,0,0,0
49,43029MEM,Golden State Warriors,4,0,0,0,0,1,0,0,0,0,0,0,0,2
353,43029MEM,Golden State Warriors,4,4,0,0,0,0,0,1,1,0,0,2,2,0
117,43029MEM,Golden State Warriors,1,2,0,0,0,0,1,1,1,0,0,0,0,0
348,43029MIL,Portland Trail Blazers,37,26,1,2,2,0,2,18,9,6,3,5,5,3
321,43029MIL,Portland Trail Blazers,34,26,4,6,4,0,5,14,6,5,3,12,11,5
403,43029MIL,Portland Trail Blazers,32,17,3,2,0,3,1,17,7,1,0,4,3,11
13,43029MIL,Portland Trail Blazers,25,5,2,0,0,1,1,7,1,3,1,2,2,6
527,43029MIL,Portland Trail Blazers,33,11,7,2,1,0,5,7,3,4,1,4,4,2
116,43029MIL,Portland Trail Blazers,19,3,1,2,0,0,1,4,1,3,1,0,0,0
134,43029MIL,Portland Trail Blazers,16,6,0,1,0,2,4,1,1,0,0,4,4,11
390,43029MIL,Portland Trail Blazers,6,3,0,0,0,0,0,2,1,1,0,2,1,1
188,43029UTA,Oklahoma City Thunder,38,22,2,6,5,0,3,19,8,9,3,3,3,5
21,43029UTA,Oklahoma City Thunder,37,26,2,1,1,1,3,26,12,8,2,0,0,3
552,43029UTA,Oklahoma City Thunder,36,6,9,7,2,0,2,11,2,5,1,4,1,13
3,43029UTA,Oklahoma City Thunder,33,9,0,1,0,0,1,6,3,0,0,6,3,5
169,43029UTA,Oklahoma City Thunder,18,8,1,1,2,0,2,5,3,3,2,0,0,1
199,43029UTA,Oklahoma City Thunder,13,3,0,0,1,2,1,1,0,1,0,4,3,2
424,43029UTA,Oklahoma City Thunder,12,0,0,1,1,1,1,2,0,1,0,0,0,2
170,43029UTA,Oklahoma City Thunder,10,0,0,0,0,0,2,0,0,0,0,0,0,1
248,43029UTA,Oklahoma City Thunder,2,3,0,0,1,0,0,1,1,1,1,0,0,0
552,43030OKC,Oklahoma City Thunder,37,31,10,2,0,1,0,24,12,8,5,4,2,5
21,43030OKC,Oklahoma City Thunder,37,23,2,2,3,0,3,19,9,7,2,3,3,2
188,43030OKC,Oklahoma City Thunder,37,14,8,2,4,0,4,20,6,8,1,1,1,6
3,43030OKC,Oklahoma City Thunder,35,17,3,2,1,2,1,12,8,0,0,1,1,13
199,43030OKC,Oklahoma City Thunder,19,12,0,1,0,1,1,5,4,1,1,5,3,4
169,43030OKC,Oklahoma City Thunder,18,12,2,1,0,0,4,7,5,3,2,0,0,1
248,43030OKC,Oklahoma City Thunder,14,0,1,0,0,2,2,1,0,0,0,0,0,4
424,43030OKC,Oklahoma City Thunder,6,0,0,0,0,0,1,2,0,2,0,0,0,0
122,43031DET,Philadelphia 76ers,34,13,2,0,4,0,3,7,4,5,3,3,2,5
453,43031DET,Philadelphia 76ers,34,7,1,2,0,0,1,9,3,3,0,1,1,7
485,43031DET,Philadelphia 76ers,34,21,10,4,1,0,2,11,8,0,0,6,5,12
42,43031DET,Philadelphia 76ers,32,6,2,3,1,0,3,7,2,5,2,0,0,3
158,43031DET,Philadelphia 76ers,28,30,0,7,2,0,5,15,11,1,1,8,7,9
474,43031DET,Philadelphia 76ers,20,7,1,0,0,0,1,10,3,4,1,0,0,1
273,43031DET,Philadelphia 76ers,19,3,0,0,0,0,5,5,1,3,1,2,0,9
179,43031DET,Philadelphia 76ers,16,2,3,3,1,0,0,4,1,0,0,0,0,2
349,43031DET,Philadelphia 76ers,15,5,5,2,1,0,3,5,2,1,1,0,0,0
25,43031HOU,Houston Rockets,40,2,4,0,1,0,3,5,0,4,0,2,2,5
211,43031HOU,Houston Rockets,35,22,8,7,1,0,4,20,8,8,2,8,4,5
196,43031HOU,Houston Rockets,33,27,7,2,0,0,5,20,8,15,5,7,6,4
18,43031HOU,Houston Rockets,31,5,2,0,0,0,4,7,2,4,1,0,0,6
91,43031HOU,Houston Rockets,25,14,0,0,1,2,5,9,7,0,0,0,0,6
526,43031HOU,Houston Rockets,28,3,3,3,1,0,3,6,1,6,1,0,0,8
261,43031HOU,Houston Rockets,4,0,0,1,0,0,2,0,0,0,0,0,0,0
153,43031DAL,Golden State Warriors,33,25,6,2,0,1,1,15,9,6,4,4,3,8
130,43031DAL,Golden State Warriors,31,29,8,6,4,0,1,15,7,10,2,13,13,2
202,43031DAL,Golden State Warriors,30,10,8,2,2,1,4,8,4,3,1,1,1,7
518,43031DAL,Golden State Warriors,28,21,3,2,0,1,4,16,9,9,3,0,0,4
417,43031DAL,Golden State Warriors,14,2,0,0,0,0,2,3,1,0,0,0,0,7
253,43031DAL,Golden State Warriors,24,9,3,1,0,0,2,7,4,4,1,0,0,5
583,43031DAL,Golden State Warriors,19,13,0,1,0,0,0,8,4,7,4,1,1,1
323,43031DAL,Golden State Warriors,15,8,1,0,0,0,1,5,4,0,0,0,0,4
551,43031DAL,Golden State Warriors,12,4,0,0,0,3,1,3,2,0,0,0,0,3
353,43031DAL,Golden State Warriors,11,6,2,0,0,1,4,2,1,0,0,6,4,4
49,43031DAL,Golden State Warriors,10,6,2,1,0,1,2,3,3,0,0,1,0,4
347,43031DAL,Golden State Warriors,7,0,0,1,0,0,1,1,0,0,0,0,0,1
96,43031DAL,Golden State Warriors,6,0,0,0,0,0,0,0,0,0,0,0,0,0
140,43031SA,Toronto Raptors,36,28,4,4,3,0,3,20,10,5,2,9,6,2
329,43031SA,Toronto Raptors,35,8,3,1,0,0,3,11,3,8,2,0,0,2
252,43031SA,Toronto Raptors,25,13,0,1,0,0,6,10,5,6,2,2,1,4
443,43031SA,Toronto Raptors,21,6,4,1,3,0,3,7,2,3,0,2,2,2
399,43031SA,Toronto Raptors,19,4,0,0,2,0,3,4,1,1,0,2,2,6
363,43031SA,Toronto Raptors,25,13,1,2,0,0,4,9,4,7,3,2,2,2
579,43031SA,Toronto Raptors,25,4,4,3,1,1,2,4,1,3,0,2,2,3
23,43031SA,Toronto Raptors,15,4,1,0,0,0,4,5,2,2,0,0,0,1
535,43031SA,Toronto Raptors,11,7,0,0,1,0,0,5,2,2,1,2,2,0
266,43032CLE,Cleveland Cavaliers,37,34,13,2,3,0,1,20,13,6,4,5,4,2
492,43032CLE,Cleveland Cavaliers,32,3,4,1,1,0,3,8,1,7,1,0,0,4
127,43032CLE,Cleveland Cavaliers,31,11,0,0,0,0,2,10,4,7,3,0,0,2
328,43032CLE,Cleveland Cavaliers,29,20,2,2,0,0,2,16,7,7,3,4,3,12
519,43032CLE,Cleveland Cavaliers,24,5,0,1,0,1,2,3,2,0,0,2,1,9
205,43032CLE,Cleveland Cavaliers,24,16,2,0,0,0,1,6,4,1,1,8,7,2
300,43032CLE,Cleveland Cavaliers,23,11,1,1,0,1,1,7,4,6,3,0,0,3
542,43032CLE,Cleveland Cavaliers,19,11,4,1,1,1,1,7,5,0,0,2,1,3
483,43032CLE,Cleveland Cavaliers,14,0,2,1,0,0,1,3,0,3,0,0,0,1
178,43032CLE,Cleveland Cavaliers,7,8,0,0,0,0,0,3,3,1,1,1,1,1
78,43032BOS,Boston Celtics,32,23,0,0,1,1,4,16,9,6,3,3,2,4
506,43032BOS,Boston Celtics,31,22,2,3,4,2,4,15,9,6,4,0,0,4
257,43032BOS,Boston Celtics,30,20,7,3,1,0,2,13,5,5,1,9,9,3
244,43032BOS,Boston Celtics,29,13,5,2,0,1,1,8,5,4,2,2,1,13
43,43032BOS,Boston Celtics,22,3,1,0,1,1,2,3,1,0,0,2,1,4
466,43032BOS,Boston Celtics,31,8,6,1,2,0,0,7,2,4,2,2,2,6
514,43032BOS,Boston Celtics,21,11,1,2,0,2,4,6,4,1,1,3,2,5
307,43032BOS,Boston Celtics,20,6,4,1,2,0,4,5,1,2,1,4,3,0
409,43032BOS,Boston Celtics,16,0,0,0,0,0,3,1,0,1,0,0,0,2
388,43032BOS,Boston Celtics,4,0,0,0,0,0,0,0,0,0,0,0,0,0
57,43032BOS,Boston Celtics,3,0,0,0,0,0,0,0,0,0,0,0,0,0
580,43032BOS,Boston Celtics,2,4,0,0,0,0,0,1,1,0,0,2,2,0
348,43032POR,Portland Trail Blazers,36,23,2,1,0,0,3,15,7,5,4,5,5,4
321,43032POR,Portland Trail Blazers,35,13,7,6,1,0,0,16,3,8,1,9,6,5
13,43032POR,Portland Trail Blazers,26,8,1,2,1,2,1,6,3,2,1,1,1,7
403,43032POR,Portland Trail Blazers,20,12,0,3,1,0,3,7,3,0,0,8,6,7
527,43032POR,Portland Trail Blazers,30,13,4,2,1,1,4,12,4,5,1,4,4,7
116,43032POR,Portland Trail Blazers,23,8,0,1,0,0,1,8,3,5,2,0,0,6
134,43032POR,Portland Trail Blazers,21,12,0,0,0,1,3,12,6,0,0,1,0,10
505,43032POR,Portland Trail Blazers,16,5,3,2,0,1,3,5,2,1,0,1,1,8
317,43032POR,Portland Trail Blazers,6,5,0,0,1,0,1,2,2,1,1,0,0,2
390,43032POR,Portland Trail Blazers,4,0,0,0,1,0,0,0,0,0,0,0,0,1
